"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","693","Then I see relavant error Please check your table number and try again","","Sun Feb 09 19:20:35 GMT 2025","passed","Sun Feb 09 19:20:36 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","1655","Given I am on the landing page","","Sun Feb 09 19:20:07 GMT 2025","passed","Sun Feb 09 19:20:08 GMT 2025","","Landing on Menu page: As a user, I can navigate from the landing page to table selection page","",""
"","1716","When I select the Terms & Conditions and Privacy Policy radio buttons","","Sun Feb 09 19:20:09 GMT 2025","passed","Sun Feb 09 19:20:10 GMT 2025","","Landing on Menu page: As a user, I can navigate from the landing page to table selection page","",""
"","242","When I click on the button","","Sun Feb 09 19:20:10 GMT 2025","passed","Sun Feb 09 19:20:11 GMT 2025","","Landing on Menu page: As a user, I can navigate from the landing page to table selection page","",""
"","2239","Given I enter invalid data in the 0 field","","Sun Feb 09 19:20:30 GMT 2025","passed","Sun Feb 09 19:20:32 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","4424","Given I enter invalid data in the 6.5 field","","Sun Feb 09 19:20:22 GMT 2025","passed","Sun Feb 09 19:20:26 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","248","When I click on back","","Sun Feb 09 19:20:16 GMT 2025","passed","Sun Feb 09 19:20:16 GMT 2025","","Landing on Menu page: Validating  'Browse The Menu' button","",""
"","2127","Then I should be redirected to the menu page","","Sun Feb 09 19:20:14 GMT 2025","passed","Sun Feb 09 19:20:16 GMT 2025","","Landing on Menu page: Validating  'Browse The Menu' button","",""
"","723","Then 'Continue' button will be enabled","","Sun Feb 09 19:20:39 GMT 2025","passed","Sun Feb 09 19:20:39 GMT 2025","","Landing on Menu page: Successfully navigating to menu page","",""
"","382","And I click the 'Continue' button","","Sun Feb 09 19:20:35 GMT 2025","passed","Sun Feb 09 19:20:35 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","85","Then I see the Continue button is enabled","","Sun Feb 09 19:20:10 GMT 2025","passed","Sun Feb 09 19:20:10 GMT 2025","","Landing on Menu page: As a user, I can navigate from the landing page to table selection page","",""
"","2775","Given I enter the table number","","Sun Feb 09 19:20:36 GMT 2025","passed","Sun Feb 09 19:20:39 GMT 2025","","Landing on Menu page: Successfully navigating to menu page","",""
"","2386","Given I enter invalid data in the 92 field","","Sun Feb 09 19:20:32 GMT 2025","passed","Sun Feb 09 19:20:35 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","2025","Then I should be redirected to the menu page","","Sun Feb 09 19:20:40 GMT 2025","passed","Sun Feb 09 19:20:42 GMT 2025","","Landing on Menu page: Successfully navigating to menu page","",""
"","819","Given I enter the search item","","Sun Feb 09 19:20:42 GMT 2025","passed","Sun Feb 09 19:20:42 GMT 2025","","Landing on Menu page: Successfully finding the required item","",""
"","4362","Given I enter invalid data in the -65 field","","Sun Feb 09 19:20:17 GMT 2025","passed","Sun Feb 09 19:20:21 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","2424","Then I will be navigated to the table selection page","","Sun Feb 09 19:20:11 GMT 2025","passed","Sun Feb 09 19:20:13 GMT 2025","","Landing on Menu page: As a user, I can navigate from the landing page to table selection page","",""
"","0","hook:","","Sun Feb 09 19:20:43 GMT 2025","failed","Sun Feb 09 19:20:43 GMT 2025","","","",""
"","1","hook:","","Sun Feb 09 19:20:36 GMT 2025","failed","Sun Feb 09 19:20:36 GMT 2025","","","",""
"","777","When I clcik on the Browse the menu button","","Sun Feb 09 19:20:13 GMT 2025","passed","Sun Feb 09 19:20:14 GMT 2025","","Landing on Menu page: Validating  'Browse The Menu' button","",""
"","9","hook:","","Sun Feb 09 19:20:42 GMT 2025","failed","Sun Feb 09 19:20:42 GMT 2025","","","",""
"","1","hook:","","Sun Feb 09 19:20:17 GMT 2025","failed","Sun Feb 09 19:20:17 GMT 2025","","","",""
"","630","Then I will be navigated to the table selection page","","Sun Feb 09 19:20:16 GMT 2025","passed","Sun Feb 09 19:20:17 GMT 2025","","Landing on Menu page: Validating  'Browse The Menu' button","",""
"","1","hook:","","Sun Feb 09 19:20:13 GMT 2025","failed","Sun Feb 09 19:20:13 GMT 2025","","","",""
"","2240","Given I enter invalid data in the 43. field","","Sun Feb 09 19:20:27 GMT 2025","passed","Sun Feb 09 19:20:29 GMT 2025","","Landing on Menu page: : Validating the table number field","",""
"","162","When I click the 'Continue' button","","Sun Feb 09 19:20:39 GMT 2025","passed","Sun Feb 09 19:20:40 GMT 2025","","Landing on Menu page: Successfully navigating to menu page","",""
"","677","Then Matching item list will be shown","","Sun Feb 09 19:20:42 GMT 2025","passed","Sun Feb 09 19:20:43 GMT 2025","","Landing on Menu page: Successfully finding the required item","",""
